country,umd_tree_cover_density_2000__threshold,umd_tree_cover_extent_2000__ha,gfw_aboveground_carbon_stocks_2000__Mg_C,avg_gfw_aboveground_carbon_stocks_2000__Mg_C_ha-1,gfw_forest_carbon_gross_emissions__Mg_CO2e_yr-1,gfw_forest_carbon_gross_removals__Mg_CO2_yr-1,gfw_forest_carbon_net_flux__Mg_CO2e_yr-1,gfw_forest_carbon_gross_emissions_2001__Mg_CO2e,gfw_forest_carbon_gross_emissions_2002__Mg_CO2e,gfw_forest_carbon_gross_emissions_2003__Mg_CO2e,gfw_forest_carbon_gross_emissions_2004__Mg_CO2e,gfw_forest_carbon_gross_emissions_2005__Mg_CO2e,gfw_forest_carbon_gross_emissions_2006__Mg_CO2e,gfw_forest_carbon_gross_emissions_2007__Mg_CO2e,gfw_forest_carbon_gross_emissions_2008__Mg_CO2e,gfw_forest_carbon_gross_emissions_2009__Mg_CO2e,gfw_forest_carbon_gross_emissions_2010__Mg_CO2e,gfw_forest_carbon_gross_emissions_2011__Mg_CO2e,gfw_forest_carbon_gross_emissions_2012__Mg_CO2e,gfw_forest_carbon_gross_emissions_2013__Mg_CO2e,gfw_forest_carbon_gross_emissions_2014__Mg_CO2e,gfw_forest_carbon_gross_emissions_2015__Mg_CO2e,gfw_forest_carbon_gross_emissions_2016__Mg_CO2e,gfw_forest_carbon_gross_emissions_2017__Mg_CO2e,gfw_forest_carbon_gross_emissions_2018__Mg_CO2e,gfw_forest_carbon_gross_emissions_2019__Mg_CO2e,gfw_forest_carbon_gross_emissions_2020__Mg_CO2e,gfw_forest_carbon_gross_emissions_2021__Mg_CO2e,gfw_forest_carbon_gross_emissions_2022__Mg_CO2e,gfw_forest_carbon_gross_emissions_2023__Mg_CO2e,gfw_forest_carbon_gross_emissions_2024__Mg_CO2e
Côte d'Ivoire,30,14866948,885133876,393,88557697,113021232,-24463535,48808596,57949886,34603541,19249552,25249586,41459127,38525802,56759965,52563735,44109403,60388709,48164713,88629029,180970856,80526562,118957273,196979391,183512419,139766169,148785174,114081428,111228381,124529626,109585785
Côte d'Ivoire,50,6356113,486708323,482,53223876,49378494,3845382,42233484,49061788,28417373,15163175,16865800,32110755,28677225,42889439,42987141,35213745,49069409,38974441,58836830,106714835,49853144,63496801,99818341,100097666,68953806,75183094,57660010,59512262,61349745,54232732
Côte d'Ivoire,75,510956,50161392,586,7674998,9293260,-1618262,13143822,12729218,5500051,3381638,2001974,5902533,5596700,6909271,7271727,7750156,10083859,8091242,5145204,12260242,4837008,6445706,7554967,9478624,4814730,6788569,10213579,9245386,10414390,8639336
Democratic Republic of the Congo,30,199272120,20212512049,583,561499003,812875804,-251376799,270759203,296456004,150938033,231913746,286937096,273542135,276990330,239932532,391730437,489287867,258809092,382546097,593979607,837306830,597015753,903149589,950404008,896668810,818547754,862753803,828353838,827198567,889801829,920953137
Democratic Republic of the Congo,50,164383576,19141532483,660,541624310,625404070,-83779759,267093701,289993682,144521528,226438712,278788201,267933785,267448598,231858425,378857996,470493731,250070933,363951601,573834295,807004362,578269853,877947683,915451128,864325860,793674762,831352794,797592676,798655717,849058563,874364848
Democratic Republic of the Congo,75,119056513,16463556751,758,439692682,387573434,52119248,235581772,251381784,115181290,194608473,242616947,236415066,229504881,197761571,330024733,396105400,206738319,296522103,489841212,643255031,472402645,717927124,718427001,685705904,650624536,653782733,626819055,637790020,650755304,672851475
Denmark,30,663204,28683112,206,1437599,5410570,-3972971,1063654,296511,393809,639287,2508405,1489268,1291464,1841569,2063754,1422682,1027472,1505580,668878,1819472,898588,1626098,1548794,1144397,3353305,1218757,1965760,1429800,1704332,1580754
Denmark,50,561144,26083320,232,1394283,4643011,-3248727,1035081,287381,380755,624255,2484596,1470753,1271729,1817362,2033019,1409460,1021202,1485725,650910,1771126,864404,1557472,1473043,1084445,3186949,1150003,1891539,1371930,1624381,1515262
Denmark,75,310526,16485868,269,1108839,2675117,-1566279,906684,243837,310691,518728,2246017,1318342,1129610,1637573,1810735,1282839,959846,1337168,483415,1331327,622751,1121359,1040428,750750,2178135,776975,1364272,995261,1162279,1083094
Djibouti,30,0,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,50,0,5,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,30,2576438,173846497,340,7276679,11977428,-4700749,4371498,4068892,4494117,8204661,8626362,5618563,6856560,9526299,6077478,6347365,5774536,8081680,4952583,5635975,6272661,11267534,13161754,6689362,6983513,9978196,7152392,6435846,11414202,6648272
Dominican Republic,50,2236254,161423364,363,6873598,10181003,-3307407,4218650,3897766,4328955,7936167,8362211,5331650,6564694,9175554,5797436,6077888,5514640,7782399,4529309,5260625,5875734,10723433,12466874,6141832,6428543,9281127,6648381,5902177,10638317,6081992
Dominican Republic,75,1774355,139166308,390,5944463,7850340,-1905874,3679839,3386711,3854179,7115876,7502539,4647214,5836236,8177096,5078930,5337188,4792263,6866915,3659822,4380263,4992971,9504580,10923761,5037694,5270615,7829049,5566312,4969699,9217436,5039948
Ecuador,30,19048768,2182649256,513,28767506,62033402,-33265895,26015231,18484797,8501628,21042181,23775799,21217115,34948961,32594432,34794262,22064131,29650827,46891185,30322771,18988115,20418714,28926910,49368740,26726441,25122138,35469372,22562910,38462802,30150463,43920246
Ecuador,50,17934671,2132876240,544,28333498,56709807,-28376309,25771841,18346992,8394019,20714479,23452056,20972497,34374111,32320908,34368627,21894575,29490631,46304956,29419965,18436017,20059451,28262743,48699032,26329649,24753635,35041350,22325230,37989947,29480830,42800412
Ecuador,75,15862084,2007193045,578,27063263,47684591,-20621328,24805293,17786506,8101521,19521897,22267879,20007233,32186346,31089004,32734763,21214204,28822884,44380169,27202006,16977166,19113237,26691198,46898620,25258984,23747840,33923659,21676872,36766891,27989319,40354817
Egypt,30,154304,5628489,233,23324,278559,-255234,45261,17030,25893,26580,18945,12080,31841,42365,18922,28123,37588,123759,23775,28317,7484,8533,13747,14890,5595,4397,4382,2820,9371,8089
Egypt,50,14628,590798,257,12440,22398,-9957,32222,10890,19709,13467,12776,7793,22035,34322,12779,15676,25568,73224,1993,2391,1087,1725,1908,2505,1613,276,1149,225,2487,742
Egypt,75,624,33282,325,2595,1920,676,7464,1375,4061,2041,2773,1115,4027,11288,3365,2404,5144,16754,42,0,0,0,17,0,52,0,67,0,165,127
El Salvador,30,988821,72874404,329,1605285,4942966,-3337681,3731614,1893671,2393913,1942570,2511220,1916288,1320355,1468422,1948442,1277263,1491657,1162125,863074,964138,1086590,3004920,2377586,1370747,1128877,1150670,792299,870735,933055,926598
El Salvador,50,801725,63686905,345,1483607,4006958,-2523352,3470784,1745315,2193626,1809565,2348423,1737885,1229546,1373148,1824398,1193508,1416632,1090362,754000,816169,971291,2824690,2163653,1269853,1031868,1074851,735867,811431,852986,866696
El Salvador,75,470778,43623127,372,1048504,2421697,-1373194,1910214,1212569,1293868,1314371,1549334,1191667,915249,951357,1279433,845875,1042704,798017,475014,473698,658740,2365460,1624811,995122,788520,863753,582712,658106,663644,709848
Equatorial Guinea,30,2654600,340734326,364,4233657,9100756,-4867098,2258578,1936027,1234466,245673,998959,776556,1839669,3039033,3611584,3985196,4890931,3149919,4506210,12412029,4923043,6245858,7925159,5120838,6413663,3372250,6114017,5283011,5922752,5402354
Equatorial Guinea,50,2633389,339579151,367,4175004,8959292,-4784289,2247760,1927738,1223580,240672,992291,762650,1783421,2987267,3570664,3911593,4808862,3102322,4450803,12241404,4861909,6184697,7847041,5044961,6330239,3302818,6010688,5217039,5832445,5317220
Equatorial Guinea,75,2447623,323996471,375,3558889,8015077,-4456189,2108963,1785787,1127614,201066,873525,656885,1442822,2530657,3112893,3248080,4148455,2648146,3815045,10379101,4263898,5353380,6766125,4291463,5288483,2711583,4944749,4501285,4835668,4377639
Eritrea,30,5,282,61,145,45085,-44940,1234,309,0,0,42,0,0,0,0,0,0,1036,12,6,59,16,186,0,0,0,53,179,264,82
Eritrea,50,2,202,85,143,45076,-44933,1180,309,0,0,42,0,0,0,0,0,0,1036,12,6,59,16,186,0,0,0,53,179,264,82
Eritrea,75,2,142,91,126,45076,-44950,788,309,0,0,42,0,0,0,0,0,0,1036,12,6,59,16,186,0,0,0,53,179,264,82
Estonia,30,2639421,104377102,77,7978036,16429019,-8450982,3754502,4976671,1373959,4295638,3660669,5489258,4280631,4938092,5116066,6077520,7849792,5230292,5029800,7098193,7784009,11320273,12312218,12862517,14970495,12182001,11644176,13735299,12841152,12649660
Estonia,50,2465461,101877682,81,7919644,15372172,-7452528,3726733,4960651,1369455,4276580,3645230,5443001,4257513,4925993,5090223,6061974,7838906,5220950,4992198,7042265,7732111,11214987,12197555,12745108,14837972,12046965,11551424,13625713,12716271,12551685
Estonia,75,1956968,88603186,90,7368944,12193178,-4824235,3528695,4684786,1318119,4099804,3459921,5118312,4070886,4755898,4853008,5852520,7594474,5085165,4636906,6526852,7182635,10306139,11213039,11657605,13613578,10936105,10589306,12554079,11718875,11497945
Ethiopia,30,12040337,850262049,397,10975130,41993212,-31018084,5528209,5711907,6788236,6182917,6889063,5744392,12873797,11043743,13591064,9778092,7644872,20228480,14507650,14899691,4656429,8795243,17508418,9448143,13547222,9312938,11075692,11802466,20648621,15195790
Ethiopia,50,5425721,513302597,517,7731570,17356534,-9624965,4387496,4036106,5717546,4790905,4777372,4344013,10695528,7703306,9540152,7154635,5865457,14883231,9463803,9208625,2995284,5249170,12495632,6478403,10438431,6309316,7365780,8000277,14617625,9039577
Ethiopia,75,2039861,273908558,770,4755625,6630383,-1874757,2637450,2260200,3627333,2531807,2328609,2705871,7166871,4649762,5189833,4503446,3704659,7611137,5345401,4752310,1521082,2961588,7327166,3802615,6925607,4000406,5139440,5463723,11427179,6551507
Faroe Islands,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,30,1556562,158849875,449,1208112,7686982,-6478869,538323,348521,775983,1059008,862981,986937,1108188,1235197,939439,1257273,290208,628330,1454338,1842815,1004961,4406958,1650048,728859,825425,1163674,4212392,592721,470886,611212
Fiji,50,1395345,148070567,468,1154489,6776674,-5622185,531835,345976,770997,1051579,857158,981377,1100183,1223076,932615,1249136,286505,595271,1391978,1690175,955050,4215734,1499678,676305,768662,1077328,4021164,553393,411962,520574
Fiji,75,1215703,135331462,513,1044287,5821252,-4776966,498442,325759,718566,980115,812385,939227,1037072,1123657,874035,1176478,258437,510874,1265611,1382018,859555,3802610,1325051,585997,661963,957383,3725338,491956,354817,395524
Finland,30,21627651,618264790,80,44632632,77839491,-33206860,28289649,26908496,16657817,28795397,46483399,36343782,32137882,41895877,35461266,36438514,34137241,35411758,32187761,40577351,38513499,53042448,75408327,62035045,66503282,58874899,63588011,62164825,60404585,58922062
Finland,50,18308144,560842192,89,43809753,66024496,-22214741,28100197,26668577,16471647,28514841,45996571,35983527,31907210,41605602,35029341,36205282,33900330,35136033,31577809,39754482,37791575,51597420,73372205,60450047,64925508,57316107,62105137,60669280,58927003,57428356
Finland,75,10425931,382859374,110,36290753,37328067,-1037314,26253298,24592385,15170625,26611887,42990572,33667734,30409694,39482873,32367123,34451536,32056807,32996181,25012077,30917249,29641891,38850392,55398794,46131915,49015562,42659245,47035820,46187891,45381736,43694767
France,30,16783020,1388341396,375,32089193,131316301,-99227109,13050981,13058178,10035276,30933769,19436093,24056766,22379664,41347558,29454492,62997850,30463732,32353430,14733505,22078222,18552067,29954101,34258559,35858265,43655938,43946718,66514861,32292034,50720413,48008176
France,50,15270417,1332970152,402,31195541,120082052,-88886509,12675287,12667026,9665648,30006499,18916816,23438406,21932630,40721051,28879879,62296089,30075804,31828586,14183100,21285860,17777333,28463080,32621923,34326005,42216581,42704785,65058846,31094776,49159961,46697030
France,75,11568533,1093819855,442,26865995,91458192,-64592199,10742579,10662825,7999585,25569914,16108341,20299884,19427819,36654434,25201567,55890882,27218243,28938604,12039354,17969002,14627172,23107137,26770360,28410581,35567080,36856304,56989362,26333353,41660223,39739256
French Guiana,30,8162754,1375105411,731,2882440,19356156,-16473717,2303322,1922755,1411291,3612114,2117665,1957914,2517893,3940806,2181259,2451482,2064700,7400579,2197953,3057234,2086048,4456901,3023277,2789029,2518640,3274344,1712092,2931358,3822319,3427583
French Guiana,50,8153384,1374711118,736,2873348,19311432,-16438085,2300574,1920433,1409557,3606821,2113564,1956100,2514767,3936081,2179518,2449014,2063815,7395087,2192317,3041432,2075400,4428434,3002557,2776641,2511609,3263855,1707717,2922492,3780904,3411631
French Guiana,75,8131838,1373367809,743,2850215,19222219,-16372003,2289303,1912197,1403167,3588081,2099644,1946999,2500845,3916968,2171815,2439208,2058642,7370882,2179146,3004119,2048736,4359387,2951375,2745506,2492601,3236054,1696719,2900273,3715402,3378112
Gabon,30,24690954,3124483759,531,14587473,80124720,-65537248,8854536,8180158,10234294,5917404,10798114,10915928,9752888,10294837,11436584,6633498,11054218,10767664,27060195,30542398,16585807,21135838,25162557,17286908,18661703,14335606,12246690,19598653,13259469,19383394
Gabon,50,24158383,3105179603,579,14214196,76305437,-62091241,8726797,8051075,10137090,5772458,10637522,10326896,9455347,9825711,11297449,6474800,10599528,10338394,26063919,29792634,16308787,20714853,24733182,16958503,18332096,13969379,11977188,19004010,12869271,18773793
Gabon,75,23070286,3030429480,622,12398786,70553168,-58154382,7959248,7389121,9342451,5237174,9688742,8774429,8396854,8386263,10451687,5721115,8952865,8811251,22580948,26309074,14687533,18572435,21883782,14417466,15775934,11613031,10251851,15876001,10757105,15734521
Gambia,30,4563,179909,204,11154,76379,-65227,3328,22673,3508,19003,3159,2025,13700,79232,3739,7151,7869,11421,8564,8324,3838,1870,3625,1699,6314,2528,9600,10729,14490,19298
Gambia,50,36,2474,339,3913,58074,-54160,2655,13193,1050,4839,2013,574,2230,7959,1701,1703,949,2148,5682,4278,1501,662,1533,252,229,182,4929,6524,11600,15537
Gambia,75,1,131,289,3636,57983,-54346,2631,12846,1050,4207,1446,411,2067,4498,1119,1594,898,1747,5654,4250,1501,662,1533,252,206,182,4929,6524,11540,15537
Georgia,30,3144570,241634337,229,197000,11007691,-10810690,252164,194975,111700,814023,195665,190508,343619,271625,152464,300734,179643,176576,94299,40019,17527,205493,73942,111174,83378,99418,196829,132620,271405,218215
Georgia,50,2956336,235117478,237,192753,10418419,-10225666,248518,191702,110717,801869,190714,186458,337171,268219,148218,290294,175901,170926,88894,37675,17208,200656,70546,108150,81671,97715,195120,129749,266103,211896
Georgia,75,2500617,211925662,252,173451,9024234,-8850781,217625,175718,102101,739758,169776,168645,304824,250969,129377,242654,160396,152493,69739,30217,14436,178047,59078,96491,74300,88411,183734,118686,243813,191556
Germany,30,12526018,1030304539,272,33408907,99528044,-66119136,6229840,6543291,2968205,20493369,18111222,20470032,46905152,31021040,14413347,39374521,16971517,13218413,7438778,10349394,6791774,14327677,17580030,30081493,62183840,113173337,122302287,51166738,74164606,55533879
Germany,50,11706414,1007472622,301,33164175,93125316,-59961141,6169366,6469300,2933795,20321851,17998184,20342551,46683044,30796376,14313645,39183722,16876104,13109473,7285073,10152842,6712686,14124136,17324626,29768098,61671735,112584361,121673269,50758907,73588618,55098440
Germany,75,9189024,855337823,339,30550176,73194709,-42644533,5590013,5880118,2664432,18332692,16458344,18652607,44342882,28664828,13278043,36693111,15720368,12109334,6043481,8412416,5807286,12316985,15059217,26626216,55859238,105198705,114877782,46654963,67413954,50547214
Ghana,30,6968887,450410960,363,41991589,53652519,-11660932,17958340,34166962,10519846,7961585,18639853,12224184,18522074,17434200,18690012,9234737,17905716,19059230,43322417,66551133,32309896,66984170,67966048,90729067,54294188,85783181,66999218,78615903,76495311,75430866
Ghana,50,4259580,323111413,425,28233246,31440814,-3207566,15601216,30887012,9004978,7088322,16166121,10462985,15885398,13709172,16167291,7216178,14645997,14974747,30780169,45990719,21778016,42328007,38802268,54771836,32212724,52939851,42712913,50376505,48132370,44963119
Ghana,75,207425,20630280,548,3576599,4223195,-646598,5412500,7771072,2084316,1313693,3020161,1934595,3016678,2512317,2730746,1262798,2216136,1965653,1903954,2680416,1440033,3275219,2671223,3541472,1728458,4161769,6361250,7934933,7809398,7089560
Greece,30,3672609,185833977,236,2566683,22717060,-20150377,2498294,1186428,621024,1844603,998980,1540289,7243553,4267993,1701950,1808604,1505129,2654762,1083656,972025,940258,1364976,1891447,1836920,2099362,1504815,8741793,2464832,7683748,3144931
Greece,50,2960585,159965745,255,2204503,18502348,-16297845,2295040,1078054,557673,1672879,888725,1365556,6624664,3923861,1563624,1614216,1345034,2287132,766451,810408,806317,1130414,1475015,1456206,1722590,1232585,7400047,2044920,6263086,2583539
Greece,75,2115703,122126699,271,1604902,13463001,-11858100,1817898,834826,412812,1275060,670170,1011408,5120318,3143087,1223242,1163709,1041338,1771882,455004,599791,613005,804656,943394,986565,1217942,875901,4972813,1447557,4304611,1810634
Guadeloupe,30,94757,8571602,189,49043,378813,-329770,127433,20664,32286,82296,91997,26456,67870,58475,51744,56791,34732,121915,66373,73269,29331,27871,27590,47256,30690,23212,29787,18491,16746,13753
Guadeloupe,50,90174,8384914,193,47300,359607,-312307,124526,19970,31239,80183,88371,26012,66074,56551,50709,54596,34147,115594,62436,68625,28563,27302,27186,45880,29691,22327,28648,17948,15709,12927
Guadeloupe,75,81785,7927224,200,41671,325910,-284240,110525,17222,28143,70177,74763,23178,59923,49675,45906,46932,31807,98550,54320,58416,26616,24780,25017,40737,26762,20232,26276,16115,13235,10794
Guatemala,30,7691097,597538798,371,37750617,29892966,7857651,23364081,25050200,39149289,25374988,43928853,24344517,58586582,37052239,42037753,29504894,20756073,42521200,27345495,30464532,26826505,87537733,40562679,36563690,45208452,45710977,26782155,24934361,37285995,65121585
Guatemala,50,6949441,566553187,389,36799293,26102545,10696749,22713350,24548518,37809040,24800178,42878155,23758345,57481052,36409926,41405802,28998765,20415453,41766822,26946436,29821731,26130573,85859755,39250154,35103122,43535457,44432886,25933719,23984689,35618707,63580390
Guatemala,75,5754034,500899899,413,33153696,20069134,13084562,20580714,22554205,32049196,22593400,37875545,21679055,52069804,33626602,38635307,27170684,19409465,38784580,25071681,26893531,23317965,77955394,34223651,30136243,37890886,39882488,23006141,20900076,30593180,58788911
Guinea,30,8159635,493537641,281,44028476,42532151,1496324,7425136,11900406,3835589,6479736,5472471,6102764,13946805,8467981,9572065,6408865,10574072,10752384,62188474,57831461,73305182,98343191,109019967,84613788,89322502,87079176,82115087,65476441,74148937,72300924
Guinea,50,2155939,156997725,354,17309675,19221203,-1911530,4976490,8345487,2495105,3020458,2454668,3314214,7983487,4009595,4845782,3091183,4402571,5613318,23230116,23087434,27640402,37823759,42765161,29630818,30701391,33797355,30975738,26699674,26533839,27994124
Guinea,75,182016,22284877,529,2793063,8054923,-5261862,1763760,2420944,626562,666600,559714,646605,1692807,803413,1053383,600007,707253,1131593,3397139,3706191,4322565,5244387,6115225,4864247,1912262,2317913,7027146,5326321,5341619,4785847
Guinea-Bissau,30,1069852,58470662,276,3807123,11857595,-8050471,787525,1999616,351409,1216358,1374429,714761,2136749,1195738,2887103,1852816,1658844,1349452,8042931,5113440,5057913,6760607,7000085,6262938,6905166,7760601,6438013,4565197,5553095,4386178
Guinea-Bissau,50,314211,17580055,303,1852129,9054403,-7202275,300056,1118634,178207,477021,609583,332901,791255,572924,1411541,1141326,891997,696712,3584411,2663718,2470208,3209589,3361079,3091919,3141297,4044460,3319391,2393271,2575083,2074482
Guinea-Bissau,75,3469,257114,464,195667,7373735,-7178069,107468,268342,13749,74518,51441,42949,77614,59874,147159,128480,83830,45109,344072,264420,239750,260623,312610,312226,198038,362168,342185,318498,368453,272406
Guyana,30,18996038,2669803138,556,8897610,40448433,-31550821,5890030,3116591,3976801,2536614,3691048,3802402,3399144,6298389,5330374,6472102,5685274,8630542,4412763,7836203,7990469,14052530,12697121,7480556,12327989,9942765,6555708,7046819,16896367,47474059
Guyana,50,18900472,2666419289,565,8847205,39899525,-31052319,5876336,3108130,3965226,2529346,3681078,3790324,3390209,6283134,5309465,6439542,5668279,8599642,4395514,7794334,7963807,13994470,12663802,7456305,12257176,9908223,6539539,7026058,16749115,46943890
Guyana,75,18768621,2660268476,574,8747519,39172523,-30425005,5839668,3087478,3925755,2508520,3652218,3753472,3359573,6242126,5260478,6378170,5634231,8531628,4366667,7727357,7910183,13870748,12588943,7407124,12086185,9837068,6507730,6986738,16545651,45932725
Haiti,30,858467,54320744,274,1541445,4740439,-3198993,918634,758740,413102,908723,839594,486795,851874,889923,1066506,906884,1073705,1883211,1286255,1618027,1296784,8834148,2606866,2004454,2043374,1797954,1167892,901306,1234891,1205037
Haiti,50,657384,46415833,305,1407112,3696246,-2289133,812712,672389,372800,793871,755971,439152,736919,789203,953701,793791,956042,1706133,1146744,1451845,1144451,8548653,2437283,1871688,1884479,1613661,1042792,771973,1055690,1018769
Haiti,75,433474,35122629,346,1125492,2553082,-1427591,603015,479599,278862,562694,581842,342134,533940,568547,712504,578887,686375,1287808,871029,1079793,818696,7838461,2048955,1571323,1499889,1231814,811590,546859,758427,718737
Honduras,30,7740497,591110235,419,30724735,33466607,-2741872,18878539,14262859,15148486,12240514,19302095,19625505,20146204,20508942,26284280,23572524,26499280,15859892,21817035,28920762,24491333,87983637,56726381,39899654,42087864,49242101,37499705,30982963,45385800,40027280
Honduras,50,6696609,547399306,448,29715977,28015344,1700632,18381372,13862888,14581256,11896216,18742275,18876246,19569237,19666014,25755461,23006930,25917839,15503786,21275330,28082870,23345290,83734954,54400955,38556906,40374413,48011017,36441385,30109028,44072648,39019130
Honduras,75,5266745,470713576,480,27132532,20804731,6327802,16683116,12582897,13020416,10820215,17259067,17045887,17804809,17850350,24248337,21474994,24131359,14461480,19684998,25939352,20595210,72237668,48445198,35273655,36622297,44716773,34041497,28120173,41212546,36908467
Hungary,30,1989596,116027454,201,4622216,11961428,-7339211,2598519,2695030,2064060,4409644,3824946,3007091,3553354,3401448,3888323,4422544,3262518,4728812,3532344,5965587,4285197,5579435,5712504,5672405,5969100,5029364,6093601,6621860,8835596,5779904
Hungary,50,1797294,111337928,224,4517844,10867576,-6349734,2581825,2674293,2052350,4383835,3796405,2979934,3518368,3346333,3859525,4393377,3235668,4671271,3430571,5763705,4169294,5400826,5527879,5473423,5778431,4875480,5926346,6429017,8590993,5569078
Hungary,75,1426606,95002103,255,3982623,8760431,-4777807,2444924,2510187,1943372,4167452,3562670,2784561,3272920,3069522,3618393,4128252,3008217,4336021,2900807,4838021,3544009,4470731,4661946,4575522,4885885,4159180,5054147,5533289,7441414,4671514
Iceland,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,30,32620759,3352459649,639,53605603,133941274,-80335671,31996637,26186228,24228963,36019970,31106881,32999866,36558489,42130951,39859471,26027578,44399308,47538973,41229628,71455358,60981148,92485127,102143020,69336585,64725101,72810172,72534776,65100664,81054959,73624613
India,50,24786693,2732973399,676,49010309,102322590,-53312281,30529315,24534861,22558945,33319434,28806169,30228974,33513657,38790586,36839092,24342403,39435495,43129008,37156398,64905187,56447222,84932009,94133640,62305784,58562584,66138842,67255198,59411405,72537870,66433318
India,75,12167801,1522253833,761,31856017,51830693,-19974677,24816586,18980455,17082017,25307938,21686583,22252613,23300727,27720707,26527903,18287034,26145647,30896316,23032278,38895398,36513688,54320652,59292629,36188805,34257545,38869572,42592435,35282650,42322575,39971653
Indonesia,30,160640822,20278023331,625,966952277,610945957,356006316,503083289,641643050,437532304,996525680,960834109,1036817155,1175307638,1040636990,1422248487,1041673447,1238960256,1785096764,872301040,1417302238,1269602921,1815773667,836976513,770821762,747939656,599003234,514506681,546402998,849245101,686619626
Indonesia,50,155062982,20004863947,643,954322909,578497663,375825246,501133487,638595576,436249665,992237641,956676870,1028478702,1167702831,1034798622,1416620206,1038601707,1234337943,1774978062,862168332,1395786484,1246866964,1781140924,814818403,750705135,724554166,583868639,503656532,534032194,819328179,666412582
Indonesia,75,140897241,19141180104,680,892192889,492621091,399571797,487655448,615235222,424200787,958287127,927672491,980262823,1121008979,992286345,1371168788,1011434735,1202961092,1708897297,807985484,1286525230,1129190939,1605925559,724131134,665864066,633645492,520170561,454913537,481223676,712470391,589512164
Iran,30,1731669,85463785,148,46758,3961697,-3914939,88436,144886,83158,66845,44785,35185,33673,93003,43773,52071,57571,107083,18024,18729,0,611,34754,13062,30667,7289,9684,45788,56906,36207
Iran,50,1545484,77099973,152,40182,3558266,-3518084,79214,127194,71951,55711,37561,28176,28128,82055,38774,42654,51832,96865,12981,12699,0,567,28005,12515,28207,6517,8496,37558,45513,31192
Iran,75,999615,50988952,157,20108,2357896,-2337788,57390,69438,42830,27011,17178,12041,12786,43675,21598,21392,29777,46635,5295,4349,0,242,6769,9864,17908,2478,2065,5843,8707,17310
Iraq,30,17505,793369,93,1876,38418,-36543,4706,2432,9284,1176,1251,1677,3648,5227,4298,3875,1021,2643,742,415,0,131,240,0,23,0,0,0,1368,862
Iraq,50,6659,332343,101,1424,25515,-24090,4125,1582,8129,805,770,1200,2793,4312,2725,2757,709,1942,441,216,0,125,64,0,23,0,0,0,840,630
Iraq,75,818,47875,116,786,19351,-18565,3095,1075,6936,355,249,583,1110,702,940,1623,372,649,66,50,0,40,0,0,23,0,0,0,618,375
Ireland,30,838579,60914870,353,3283798,5714836,-2431040,4383911,2277609,986532,3103174,3677345,2483350,5518657,3334959,3445080,1847843,1551480,2905928,2245163,2757995,2160037,4559715,2980625,4203367,5091084,3141979,4654123,3638405,3740250,4122538
Ireland,50,636927,50505482,391,3151217,4477732,-1326515,4186395,2200073,959051,2974493,3574501,2440524,5189144,3218826,3394981,1769009,1520144,2852770,2168413,2688365,2094473,4357955,2833086,4027668,4822043,2985438,4450525,3463917,3542072,3915337
Ireland,75,289094,27595775,489,2494307,2406557,87751,3424310,1856833,865672,2517684,3103824,2189250,4325066,2789231,3109227,1553275,1368197,2572485,1642871,2112599,1617154,3188143,2054652,2934200,3419074,2128175,3257791,2466642,2557135,2809893
Italy,30,9317986,561622081,285,7703589,54727800,-47024210,2689954,3058980,948651,4788123,3148923,2573361,3417732,4648025,4651509,5108640,3655516,6514146,4738771,6693417,4770520,8438808,10500602,13913073,25075059,11102502,10221953,11078303,19218294,13931272
Italy,50,8381457,534104026,307,7440759,50180034,-42739274,2566879,2946701,884281,4579241,2997935,2411592,3278293,4454217,4481322,5004629,3551820,6326011,4462368,6406628,4532377,8054894,9861502,13433957,24638054,10817172,9840141,10702774,18776972,13568463
Italy,75,6479335,447790015,336,6473287,40194217,-33720930,2158901,2568899,688700,3843658,2444311,1914824,2784496,3725866,3820426,4529044,3158604,5738024,3594108,5459486,3846376,6934212,8161460,11615937,22105223,9564278,8535116,9342504,16826312,11998115
